Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,12/108,1.2526361592008746e-06,0.0002542851403177776,0,0,6.488031914893617,88.1740425578202,UTP15;NXF1;LSG1;NOP58;UTP4;RPP30;SBDS;GAR1;NMD3;RIOK1;UTP14A;WDR43,KEGG_2021_Human
KEGG_2021_Human,Colorectal cancer,8/86,0.0002649676134152756,0.025431799179407,0,0,5.272334682860999,43.42243678364212,TCF7L2;JUN;GADD45B;BIRC5;CYCS;BRAF;FOS;HRAS,KEGG_2021_Human
KEGG_2021_Human,Renal cell carcinoma,7/69,0.0003758393967400057,0.025431799179407,0,0,5.793328253323173,45.688206404141,FLCN;CREBBP;JUN;PRCC;EP300;BRAF;HRAS,KEGG_2021_Human
KEGG_2021_Human,Spliceosome,10/150,0.0007092199051225837,0.0359929101849711,0,0,3.6795162509448223,26.68144146385725,PRPF38B;PPIL1;PRPF3;BUD31;TRA2B;HSPA6;SRSF1;TRA2A;SRSF3;SRSF6,KEGG_2021_Human
KEGG_2021_Human,Hepatitis B,9/162,0.0044494836917663,0.1215882878570436,0,0,3.02017693620984,16.354159089624904,NFKBIA;CREBBP;JUN;EP300;CYCS;BIRC5;BRAF;FOS;HRAS,KEGG_2021_Human
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,10/193,0.0045602580552776,0.1215882878570436,0,0,2.8087142568016885,15.14002610606138,NFKBIA;TCF7L2;GABARAPL1;CREBBP;JUN;EP300;CYCS;FOS;ATG14;HRAS,KEGG_2021_Human
KEGG_2021_Human,Legionellosis,5/57,0.0049056098664431,0.1215882878570436,0,0,4.910624623418357,26.11163682040045,CLK1;NFKBIA;HSPA6;CYCS;CLK4,KEGG_2021_Human
KEGG_2021_Human,MAPK signaling pathway,13/294,0.0051036780541975,0.1215882878570436,0,0,2.384844602609727,12.58671808643732,JUN;GADD45B;DUSP1;HSPA6;BRAF;FOS;DUSP8;DUSP16;RELB;DUSP10;DDIT3;HRAS;LAMTOR3,KEGG_2021_Human
KEGG_2021_Human,Thyroid cancer,4/37,0.0055566084282281,0.1215882878570436,0,0,6.180239898989899,32.0925479735516,TCF7L2;GADD45B;BRAF;HRAS,KEGG_2021_Human
KEGG_2021_Human,Protein processing in endoplasmic reticulum,9/171,0.0063022823482181,0.1215882878570436,0,0,2.8510700674289065,14.445925650160364,SEC61A2;PPP1R15A;DNAJB2;DNAJA1;HSPH1;DDIT3;BAG1;HSPA6;HSPBP1,KEGG_2021_Human
KEGG_2021_Human,Apoptosis,8/142,0.0065885279134358,0.1215882878570436,0,0,3.0601728201099765,15.369489508229078,NFKBIA;JUN;GADD45B;DDIT3;CYCS;BIRC5;FOS;HRAS,KEGG_2021_Human
KEGG_2021_Human,Bladder cancer,4/41,0.0080197667271381,0.1356677204674208,0,0,5.51097972972973,26.595139175733177,RASSF1;BRAF;HRAS;HBEGF,KEGG_2021_Human
KEGG_2021_Human,Acute myeloid leukemia,5/67,0.0096745234803853,0.1467888837444936,0,0,4.116482776046492,19.093314494393404,PER2;TCF7L2;RARA;BRAF;HRAS,KEGG_2021_Human
KEGG_2021_Human,mTOR signaling pathway,8/154,0.0105078115881261,0.1467888837444936,0,0,2.8069214131218456,12.787313186535613,FLCN;RRAGC;CAB39L;AKT1S1;BRAF;HRAS;LAMTOR3;LRP6,KEGG_2021_Human
KEGG_2021_Human,Prostate cancer,6/97,0.0115499780305776,0.1467888837444936,0,0,3.369368851044244,15.030996176947374,NFKBIA;TCF7L2;CREBBP;EP300;BRAF;HRAS,KEGG_2021_Human
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,5/70,0.0115695671916842,0.1467888837444936,0,0,3.925888732677244,17.507018493347974,NFKBIA;ATP6V0B;JUN;HBEGF;ATP6V0A1,KEGG_2021_Human
KEGG_2021_Human,FoxO signaling pathway,7/131,0.0140700660702268,0.1680131418974153,0,0,2.88747777495555,12.311355482478245,GABARAPL1;CREBBP;GADD45B;PLK1;EP300;BRAF;HRAS,KEGG_2021_Human
KEGG_2021_Human,Estrogen signaling pathway,7/137,0.0175942146065997,0.178110660472945,0,0,2.75336159903089,11.124090635378185,JUN;HSPA6;RARA;FOS;KRT10;HRAS;HBEGF,KEGG_2021_Human
