Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
GO_Molecular_Function_2023,RNA Binding (GO:0003723),82/1411,1.2263714516144473e-19,3.6791143548433417e-17,0,0,3.686505653176746,160.52909878654495,ZC3H4;RPP30;PINX1;CHD2;WDR46;YARS2;WDR43;ALKBH8;MRPL1;PCF11;ALKBH1;ZC3H12A;CWC22;RRP12;KPNA2;METTL16;UTP14A;COA6;UTP15;RBM15;ZFR;DDX10;TFB2M;DDX52;NUDT16L1;PPRC1;PTBP2;SUPV3L1;DNAJC2;SFPQ;DDX39A;PSPC1;GRWD1;PRPF3;DDIT3;SBDS;SRSF3;CCDC86;SRFBP1;DXO;SRSF6;DUS3L;ANKRD17;ZCCHC8;UTP25;NUFIP1;DDX27;RPS19BP1;YTHDC1;PRKRIP1;SRRT;SRSF1;NOP2;DDX21;NMD3;RPF2;NXF1;SCAF8;BCLAF1;TRA2B;TRA2A;UTP20;PRPF38B;JUN;CHTOP;NOP58;UTP4;NOP16;PNO1;CCDC59;LSM1;RSRC2;NOC3L;H1-0;H1-2;EIF1;YRDC;EIF5;TRMT6;ESF1;DHX29;SUGP1,Molecular_Function
GO_Molecular_Function_2023,Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),18/224,4.182155491051035e-07,6.273233236576552e-05,0,0,4.582891629493571,67.31016156268926,TCF7L2;JUN;ZNF263;RFX3;ARID4A;PAX6;NR1D1;FOS;GABPB1;GRHL1;HINFP;PER2;SFPQ;DDIT3;ATF5;ZNF335;ATF3;TAF2,Molecular_Function
GO_Molecular_Function_2023,DNA Binding (GO:0003677),36/846,9.279247209143132e-06,0.0009279247209143132,0,0,2.373989898989899,27.50915429071896,NUFIP1;SRRT;ARID4A;CHD2;CDKN2AIP;BCLAF1;H2BC21;ZC3H12A;EP300;JUNB;YAF2;DEDD;KDM6A;TCF7L2;CREBBP;ZNF263;JUN;H2AC6;RFX3;PAX6;INO80;ZFY;GRHL1;H1-0;H1-2;HINFP;THAP1;SUPV3L1;SFPQ;H2AC25;POLR3C;ERCC4;DDIT3;MAFF;RARA;ATF5,Molecular_Function
GO_Molecular_Function_2023,Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),41/1098,4.699976472150093e-05,0.0034883263466507,0,0,2.074150919218385,20.66967711913051,ATF1;ZNF473;ZNF671;DLX2;MYNN;CHD2;ZNF26;CDKN2AIP;IKZF5;RELB;ZNF569;ZNF547;JUNB;SKIL;ZNF420;KDM6A;ZNF143;TCF7L2;ZNF263;JUN;TIPARP;RFX3;PAX6;RFX1;NR1D1;FOS;ZBTB11;ZFY;GRHL1;HINFP;THAP1;DDIT3;MAFF;RARA;ZNF416;HBP1;ZNF776;ZNF335;MXD1;ATF3;ZNF597,Molecular_Function
GO_Molecular_Function_2023,Transcription Cis-Regulatory Region Binding (GO:0000976),23/474,5.813877244417942e-05,0.0034883263466507,0,0,2.677174012088813,26.109615492452622,ATF1;TCF7L2;ZNF263;JUN;TIPARP;RFX3;ARID4A;PAX6;NR1D1;FOS;GABPB1;GRHL1;HINFP;IKZF5;PER2;SFPQ;DDIT3;RARA;CREBRF;ATF5;ZNF335;ATF3;TAF2,Molecular_Function
GO_Molecular_Function_2023,RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),40/1122,0.0001566775969850202,0.007833879849251,0,0,1.9684704782544036,17.246400531102655,ATF1;ZNF473;ZNF671;DLX2;MYNN;CHD2;ZNF26;CDKN2AIP;IKZF5;RELB;ZNF569;ZNF547;JUNB;SKIL;ZNF420;KDM6A;ZNF143;TCF7L2;ZNF263;JUN;RFX3;PAX6;RFX1;NR1D1;FOS;ZBTB11;ZFY;GRHL1;HINFP;THAP1;DDIT3;MAFF;RARA;ZNF416;HBP1;ZNF776;ZNF335;MXD1;ATF3;ZNF597,Molecular_Function
GO_Molecular_Function_2023,Ribosome Binding (GO:0043022),8/85,0.0002443860268537928,0.0092315726417002,0,0,5.34107997265892,44.42048831476602,SEC61A2;DNAJC2;ZC3H12A;LTN1;SBDS;NMD3;DHX29;EIF1,Molecular_Function
GO_Molecular_Function_2023,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),42/1225,0.0002461752704453388,0.0092315726417002,0,0,1.8909942880596504,15.713154244731507,ATF1;ZNF473;ZNF671;DLX2;MYNN;CHD2;ZNF26;CDKN2AIP;IKZF5;RELB;ZNF569;ZNF547;JUNB;SKIL;ZNF420;KDM6A;ZNF143;TCF7L2;ZNF263;JUN;RFX3;PAX6;RFX1;NR1D1;FOS;ZBTB11;ZFY;GRHL1;HINFP;THAP1;DDIT3;MAFF;RARA;ZNF416;CREBRF;HBP1;ZNF776;ATF5;ZNF335;MXD1;ATF3;ZNF597,Molecular_Function
GO_Molecular_Function_2023,snoRNA Binding (GO:0030515),5/31,0.00030025739907454127,0.0100085799691513,0,0,9.83430407712392,79.76476637737159,UTP25;NOP58;NUFIP1;DDX21;NUDT16L1,Molecular_Function
GO_Molecular_Function_2023,MAP Kinase Tyrosine Phosphatase Activity (GO:0033550),3/9,0.0005579065564330625,0.0139476639108265,0,0,25.462337662337664,190.74649572709504,DUSP10;DUSP8;DUSP16,Molecular_Function
GO_Molecular_Function_2023,MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017),3/9,0.0005579065564330625,0.0139476639108265,0,0,25.462337662337664,190.74649572709504,DUSP10;DUSP8;DUSP16,Molecular_Function
GO_Molecular_Function_2023,Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330),3/9,0.0005579065564330625,0.0139476639108265,0,0,25.462337662337664,190.74649572709504,DUSP10;DUSP8;DUSP16,Molecular_Function
GO_Molecular_Function_2023,"Catalytic Activity, Acting On A tRNA (GO:0140101)",5/39,0.0008960807582953015,0.0184406061156156,0,0,7.517278451850714,52.7523513182749,ALKBH1;PTRH2;TRMT13;DUS3L;TRIT1,Molecular_Function
GO_Molecular_Function_2023,Mitogen-Activated Protein Kinase Binding (GO:0051019),4/23,0.0009220303057807816,0.0184406061156156,0,0,10.741776315789474,75.0735492288143,DUSP10;DUSP1;PPM1D;DUSP16,Molecular_Function
GO_Molecular_Function_2023,Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138),4/23,0.0009220303057807816,0.0184406061156156,0,0,10.741776315789474,75.0735492288143,DUSP12;DUSP10;DUSP8;DUSP16,Molecular_Function
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),7/83,0.0011477306186758,0.0215199491001722,0,0,4.722751761292996,31.9728814192485,CREBBP;RARA;EP300;GRHL1;H1-0;KDM6A;H1-2,Molecular_Function
