query,_id,_score,symbol
ENSG00000177606,3725,31.515291,JUN
ENSG00000164309,202333,32.50751,CMYA5
ENSG00000184545,1850,32.50751,DUSP8
ENSG00000085465,5016,31.515455,OVGP1
ENSG00000087589,57091,32.50751,CASS4
ENSG00000180573,8334,31.515606,H2AC6
ENSG00000137959,10964,32.50751,IFI44L
ENSG00000151012,23657,31.515606,SLC7A11
ENSG00000083635,26747,32.50717,NUFIP1
ENSG00000171848,6241,31.515455,RRM2
ENSG00000136603,6498,31.515606,SKIL
ENSG00000135452,6302,32.50751,TSPAN31
ENSG00000165949,3429,31.515606,IFI27
ENSG00000255198,ENSG00000255198,32.50751,SNHG9
ENSG00000131931,55145,31.515291,THAP1
ENSG00000258441,283624,32.50735,LINC00641
ENSG00000080823,5891,32.50751,MOK
ENSG00000197019,29950,32.50751,SERTAD1
ENSG00000277149,441250,32.50751,TYW1B
ENSG00000136114,55901,31.515606,THSD1
ENSG00000166478,7702,31.515291,ZNF143
ENSG00000136891,54881,32.50735,TEX10
ENSG00000126368,9572,31.515606,NR1D1
ENSG00000115844,1746,31.515606,DLX2
ENSG00000253251,112441434,32.50751,SHLD3
ENSG00000163378,285203,32.50751,EOGT
ENSG00000104856,5971,31.515291,RELB
ENSG00000131471,8639,30.862114,AOC3
ENSG00000176890,7298,31.515606,TYMS
ENSG00000100908,51016,32.50751,EMC9
ENSG00000089486,29965,32.50751,CDIP1
ENSG00000166803,9768,32.50751,PCLAF
ENSG00000164463,153222,32.50717,CREBRF
ENSG00000187837,3006,30.374125,H1-2
ENSG00000248008,100506668,32.50751,NRAV
ENSG00000068028,11186,31.515606,RASSF1
ENSG00000225648,ENSG00000225648,10.486294,SBDSP1
ENSG00000172602,27289,31.515606,RND1
ENSG00000176383,79369,31.515291,B3GNT4
ENSG00000198026,63925,31.515455,ZNF335
ENSG00000181026,64782,32.50751,AEN
ENSG00000169288,65008,31.515606,MRPL1
ENSG00000152433,284306,31.515606,ZNF547
ENSG00000023839,1244,31.515291,ABCC2
ENSG00000137965,10561,31.515291,IFI44
ENSG00000106245,8896,31.515291,BUD31
ENSG00000162772,467,31.515291,ATF3
ENSG00000171763,79029,31.515291,AFG2B
ENSG00000186395,3858,30.861956,KRT10
ENSG00000118007,10274,32.50751,STAG1
ENSG00000104825,4793,31.515606,NFKBIB
ENSG00000121390,55269,31.515606,PSPC1
ENSG00000154803,201163,31.515606,FLCN
ENSG00000052749,23223,31.515606,RRP12
ENSG00000013441,1195,31.515606,CLK1
ENSG00000196338,54413,32.50751,NLGN3
ENSG00000170345,2353,31.515606,FOS
ENSG00000180747,100271836,10.486294,SMG1P3
ENSG00000173110,3310,31.515606,HSPA6
ENSG00000137804,51203,32.50751,NUSAP1
ENSG00000110768,2965,32.50751,GTF2H1
