evidence,gocategory,id,pubmed,qualifier,term,gene,ontology,category
IDA,BP,GO:0000122,2833704,involved_in,negative regulation of transcription by RNA polymerase II,JUN,BP,
IMP,BP,GO:0000122,21113145,involved_in,negative regulation of transcription by RNA polymerase II,JUN,BP,
IEA,BP,GO:0001525,,acts_upstream_of_or_within,angiogenesis,JUN,BP,
IEA,BP,GO:0001774,,acts_upstream_of_or_within,microglial cell activation,JUN,BP,
IEA,BP,GO:0001889,,acts_upstream_of_or_within,liver development,JUN,BP,
IEA,BP,GO:0001938,,acts_upstream_of_or_within,positive regulation of endothelial cell proliferation,JUN,BP,
IEA,BP,GO:0003151,,acts_upstream_of_or_within,outflow tract morphogenesis,JUN,BP,
IEA,BP,GO:0006355,,acts_upstream_of_or_within,regulation of DNA-templated transcription,JUN,BP,
IEA,BP,GO:0006355,,involved_in,regulation of DNA-templated transcription,JUN,BP,
IDA,BP,GO:0006357,"[8628277, 17283046]",involved_in,regulation of transcription by RNA polymerase II,JUN,BP,
NAS,BP,GO:0006357,"[9510247, 20102225, 23661758]",involved_in,regulation of transcription by RNA polymerase II,JUN,BP,
IEA,BP,GO:0006915,,acts_upstream_of,apoptotic process,JUN,BP,
IDA,BP,GO:0007179,9732876,involved_in,transforming growth factor beta receptor signaling pathway,JUN,BP,
IEA,BP,GO:0007254,,involved_in,JNK cascade,JUN,BP,
ISS,BP,GO:0007254,,involved_in,JNK cascade,JUN,BP,
IEA,BP,GO:0008283,,acts_upstream_of,cell population proliferation,JUN,BP,
IEA,BP,GO:0008285,,acts_upstream_of_or_within,negative regulation of cell population proliferation,JUN,BP,
IEA,BP,GO:0009410,,acts_upstream_of_or_within,response to xenobiotic stimulus,JUN,BP,
IEA,BP,GO:0010634,,acts_upstream_of_or_within,positive regulation of epithelial cell migration,JUN,BP,
IDA,BP,GO:0019046,34893887,acts_upstream_of_or_within,release from viral latency,JUN,BP,
IDA,BP,GO:0019046,31341047,involved_in,release from viral latency,JUN,BP,
IEA,BP,GO:0030224,,acts_upstream_of_or_within,monocyte differentiation,JUN,BP,
IEA,BP,GO:0031103,,acts_upstream_of_or_within,axon regeneration,JUN,BP,
IMP,BP,GO:0034976,21113145,involved_in,response to endoplasmic reticulum stress,JUN,BP,
IEA,BP,GO:0035026,,acts_upstream_of_or_within,leading edge cell differentiation,JUN,BP,
IEA,BP,GO:0035994,,acts_upstream_of_or_within,response to muscle stretch,JUN,BP,
IBA,BP,GO:0042127,,involved_in,regulation of cell population proliferation,JUN,BP,
IMP,BP,GO:0043065,10508860,involved_in,positive regulation of apoptotic process,JUN,BP,
IEA,BP,GO:0043066,,acts_upstream_of_or_within,negative regulation of apoptotic process,JUN,BP,
IDA,BP,GO:0043392,14645924,involved_in,negative regulation of DNA binding,JUN,BP,
IEA,BP,GO:0043524,,acts_upstream_of_or_within,negative regulation of neuron apoptotic process,JUN,BP,
IDA,BP,GO:0043922,2833704,involved_in,negative regulation by host of viral transcription,JUN,BP,
