Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),9/24,1.7625866598638546e-09,2.6774376485449337e-06,0,0,25.68421052631579,517.7033634685309,ACLY;HMGCS1;INSIG1;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),9/25,2.6976701748563563e-09,2.6774376485449337e-06,0,0,24.077713815789476,475.0744177981121,ACLY;HMGCS1;INSIG1;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),9/28,8.571806247329988e-09,5.671678466983342e-06,0,0,20.27285318559557,376.563937154872,ACLY;HMGCS1;INSIG1;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),8/29,2.2465497401105998e-07,0.00011148503085298848,0,0,16.266750026049806,249.02279710821543,GPI;PFKL;UCP2;PGK1;ALDOC;ENO1;ENO3;HK2,Biological_Process
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),11/67,3.7918408942858914e-07,0.0001505360835031499,0,0,8.427824103209566,124.60743597166136,ACLY;HMGCS1;OSBPL5;INSIG1;MSMO1;MVD;DHCR7;LSS;ABCG1;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Carbohydrate Catabolic Process (GO:0016052),8/41,3.915115067107304e-06,0.0012952505680346,0,0,10.345202572773688,128.80466025599426,GPI;PFKL;UCP2;PGK1;ALDOC;ENO1;ENO3;HK2,Biological_Process
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),8/50,1.8317292886652957e-05,0.0046520571800226,0,0,8.124622277795144,88.62065787762694,GPI;PFKL;UCP2;PGK1;ALDOC;ENO1;ENO3;HK2,Biological_Process
GO_Biological_Process_2023,Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639),4/8,1.874884505802584e-05,0.0046520571800226,0,0,42.366594360086765,461.134044718798,CD84;SYK;OAS3;LGALS9,Biological_Process
GO_Biological_Process_2023,acetyl-CoA Metabolic Process (GO:0006084),5/16,2.3495693744844877e-05,0.0051821057870574,0,0,19.292490118577074,205.6327370676154,ACLY;ACSS2;NUDT8;HMGCS1;MVD,Biological_Process
GO_Biological_Process_2023,Phosphate-Containing Compound Metabolic Process (GO:0006796),15/184,2.7635227658639965e-05,0.00548559269024,0,0,3.819723865877712,40.09342305688233,GPI;PFKFB4;EPHX2;PIK3CD;HK2;BCKDK;PFKL;G6PC3;IMPA2;ACP6;PGK1;ALDOC;EPHB2;PLCB2;PFKP,Biological_Process
GO_Biological_Process_2023,Glucose Metabolic Process (GO:0006006),8/59,6.302172111878871e-05,0.0113668494713926,0,0,6.6877762045737335,64.68437951626485,SLC25A1;GPI;G6PC3;GAA;PGK1;ENO1;ENO3;HK2,Biological_Process
GO_Biological_Process_2023,Leukocyte Cell-Cell Adhesion (GO:0007159),6/31,6.8716470356026e-05,0.0113668494713926,0,0,10.201307189542485,97.78485086547369,CD40LG;SYK;SELL;ITGB2;CERCAM;PECAM1,Biological_Process
