Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
KEGG_2021_Human,Glycolysis / Gluconeogenesis,10/67,3.175099292633312e-06,0.0008033001210362279,0,0,7.510314247156352,95.08186753575634,GPI;PFKL;ACSS2;G6PC3;PGK1;ALDOC;ENO1;ENO3;HK2;PFKP,KEGG_2021_Human
KEGG_2021_Human,Fructose and mannose metabolism,7/33,8.88220820288572e-06,0.001123599337665,0,0,11.468172657037286,133.39159566629644,PFKFB4;PFKL;TKFC;MPI;ALDOC;HK2;PFKP,KEGG_2021_Human
KEGG_2021_Human,Hematopoietic cell lineage,11/99,1.9082256217353572e-05,0.0016092702743301,0,0,5.354350220264317,58.18439408297,CD4;CD5;KIT;CD38;CD1E;DNTT;CD1D;CD1C;CD1B;CD1A;IL9R,KEGG_2021_Human
KEGG_2021_Human,Galactose metabolism,6/31,6.8716470356026e-05,0.0039075248251182,0,0,10.201307189542485,97.78485086547369,PFKL;G6PC3;GAA;HK2;PFKP;GALK1,KEGG_2021_Human
KEGG_2021_Human,Steroid biosynthesis,5/20,7.72238107730881e-05,0.0039075248251182,0,0,14.144927536231885,133.9355283120892,MSMO1;DHCR7;LSS;TM7SF2;FDFT1,KEGG_2021_Human
KEGG_2021_Human,Central carbon metabolism in cancer,8/70,0.0002147308732340817,0.0090544851547037,0,0,5.498129455777511,46.43788901438441,PFKL;KIT;IDH2;PIK3CD;SLC16A3;HK2;PFKP;PDK1,KEGG_2021_Human
KEGG_2021_Human,Pentose phosphate pathway,5/30,0.000586096086471705,0.0196916627377111,0,0,8.482608695652173,63.12780134654789,GPI;PFKL;ALDOC;TKT;PFKP,KEGG_2021_Human
KEGG_2021_Human,Amoebiasis,9/102,0.0006226612723386928,0.0196916627377111,0,0,4.1260611205432935,30.45655272065236,ITGB2;PIK3CD;CD1E;CD1D;CD1C;CD1B;PLCB2;VCL;CD1A,KEGG_2021_Human
KEGG_2021_Human,HIF-1 signaling pathway,9/109,0.0010052781712886,0.0282594863706697,0,0,3.835855263157895,26.476956386822216,PFKL;PGK1;PIK3CD;ALDOC;ENO1;ENO3;HK2;PFKP;PDK1,KEGG_2021_Human
KEGG_2021_Human,Starch and sucrose metabolism,5/36,0.0013829137702611,0.0347983337020032,0,0,6.838709677419355,45.02307311418994,GPI;G6PC3;GBE1;GAA;HK2,KEGG_2021_Human
KEGG_2021_Human,Terpenoid backbone biosynthesis,4/22,0.0015129710305218,0.0347983337020032,0,0,9.408050132562064,61.09286690394015,FDPS;HMGCS1;MVD;ACAT2,KEGG_2021_Human
KEGG_2021_Human,Malaria,5/50,0.0059613715502397,0.1256855835175556,0,0,4.707729468599034,24.115130935694932,CD40LG;GYPC;LRP1;ITGB2;PECAM1,KEGG_2021_Human
KEGG_2021_Human,Pyrimidine metabolism,5/56,0.0095995239250049,0.1868215040789432,0,0,4.152600170502984,19.29315385823935,ENTPD5;CMPK2;TK2;NT5M;TK1,KEGG_2021_Human
KEGG_2021_Human,Axon guidance,10/182,0.0103564925973944,0.187156616224342,0,0,2.474188602095579,11.307392384963716,NTNG2;ROBO3;SEMA4A;ABLIM1;DPYSL2;LIMK1;SLIT1;PIK3CD;EPHB2;NFATC4,KEGG_2021_Human
KEGG_2021_Human,Primary immunodeficiency,4/38,0.0114029933626316,0.1923304880497203,0,0,4.976649228020927,22.2649283745762,CD4;CD40LG;IGLL1;ADA,KEGG_2021_Human
