Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),9/24,1.7625866598638546e-09,2.6774376485449337e-06,0,0,25.68421052631579,517.7033634685309,ACLY;HMGCS1;INSIG1;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),9/25,2.6976701748563563e-09,2.6774376485449337e-06,0,0,24.077713815789476,475.0744177981121,ACLY;HMGCS1;INSIG1;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),9/28,8.571806247329988e-09,5.671678466983342e-06,0,0,20.27285318559557,376.563937154872,ACLY;HMGCS1;INSIG1;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1,Biological_Process
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),8/29,2.2465497401105998e-07,0.00011148503085298848,0,0,16.266750026049806,249.02279710821543,GPI;PFKL;UCP2;PGK1;ALDOC;ENO1;ENO3;HK2,Biological_Process
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),11/67,3.7918408942858914e-07,0.0001505360835031499,0,0,8.427824103209566,124.60743597166136,ACLY;HMGCS1;OSBPL5;INSIG1;MSMO1;MVD;DHCR7;LSS;ABCG1;TM7SF2;FDFT1,Biological_Process
GO_Cellular_Component_2023,Ficolin-1-Rich Granule (GO:0101002),17/184,1.4961128015447656e-06,0.0002767808682857816,0,0,4.400876817792986,59.027377669918536,GPI;DBNL;GAA;ITGB2;NBEAL2;AMPD3;APEH;EEF1A1;CST3;ACLY;PFKL;IMPDH2;COTL1;TBC1D10C;ALDOC;VCL;VPS35L,Cellular_Component
KEGG_2021_Human,Glycolysis / Gluconeogenesis,10/67,3.175099292633312e-06,0.0008033001210362279,0,0,7.510314247156352,95.08186753575634,GPI;PFKL;ACSS2;G6PC3;PGK1;ALDOC;ENO1;ENO3;HK2;PFKP,KEGG_2021_Human
KEGG_2021_Human,Fructose and mannose metabolism,7/33,8.88220820288572e-06,0.001123599337665,0,0,11.468172657037286,133.39159566629644,PFKFB4;PFKL;TKFC;MPI;ALDOC;HK2;PFKP,KEGG_2021_Human
GO_Biological_Process_2023,Carbohydrate Catabolic Process (GO:0016052),8/41,3.915115067107304e-06,0.0012952505680346,0,0,10.345202572773688,128.80466025599426,GPI;PFKL;UCP2;PGK1;ALDOC;ENO1;ENO3;HK2,Biological_Process
KEGG_2021_Human,Hematopoietic cell lineage,11/99,1.9082256217353572e-05,0.0016092702743301,0,0,5.354350220264317,58.18439408297,CD4;CD5;KIT;CD38;CD1E;DNTT;CD1D;CD1C;CD1B;CD1A;IL9R,KEGG_2021_Human
GO_Cellular_Component_2023,Ficolin-1-Rich Granule Lumen (GO:1904813),12/123,3.022700957804934e-05,0.0027959983859695,0,0,4.635522940158702,48.24084274548344,EEF1A1;CST3;ACLY;GPI;PFKL;DBNL;IMPDH2;COTL1;ALDOC;AMPD3;APEH;VCL,Cellular_Component
