Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),20/155,2.345105517851816e-11,4.1109699727942334e-08,0,0,7.8409822866344605,191.91671065217852,LTV1;UTP15;NOP58;DDX27;RPS19BP1;NOP16;UTP4;PNO1;PAK1IP1;DDX10;RPF2;WDR46;WDR43;GRWD1;SBDS;ESF1;UTP20;DHX29;RIOK1;RRP12,Biological_Process
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),54/1243,2.196259720628405e-08,1.925021645130797e-05,0,0,2.5051041734865005,44.17481900580864,ATF1;GPATCH3;TRIAP1;GABPB1;WDR43;FLCN;MED13;ING3;ZC3H12A;EPC1;EP300;JUNB;YAF2;HRAS;UTP15;RFX3;PAX6;FOS;PPRC1;ZFY;DNAJC2;SFPQ;DDIT3;RARA;WAC;DXO;ATF5;ATF3;INO80D;NUFIP1;GPS2;DDX21;LRP6;RELB;SCAF8;BCLAF1;ZNF143;AKIRIN2;TCF7L2;CREBBP;ZNF263;JUN;GTF2H1;NR1D1;INO80;GRHL1;HINFP;NFKBIA;KANSL2;MAFF;CREBRF;PAXBP1;TAF2;CCDC62,Biological_Process
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),14/118,7.10090966306681e-08,2.7614672766014688e-05,0,0,7.021596051007816,115.57868581313896,LTV1;UTP15;NOP58;RPS19BP1;NOP16;UTP4;PNO1;PAK1IP1;RPF2;WDR46;WDR43;GRWD1;UTP20;RIOK1,Biological_Process
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),12/84,7.708485601135614e-08,2.7614672766014688e-05,0,0,8.661347517730496,141.85865903239235,LTV1;UTP15;NOP58;RPS19BP1;UTP4;PNO1;SRFBP1;UTP20;RIOK1;DDX52;WDR46;WDR43,Biological_Process
GO_Biological_Process_2023,rRNA Processing (GO:0006364),13/101,7.876404097551252e-08,2.7614672766014688e-05,0,0,7.691272727272727,125.80468109763883,UTP15;NOP58;DDX27;UTP4;NOP2;DDX10;DDX52;SBDS;ESF1;SRFBP1;UTP20;RIOK1;RRP12,Biological_Process
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),42/938,4.2612554566202883e-07,0.00012449968025758944,0,0,2.535585260115607,37.19331308546144,ATF1;NUFIP1;GPS2;DDX21;TRIAP1;GABPB1;LRP6;RELB;FLCN;BCLAF1;MED13;ZC3H12A;EPC1;EP300;JUNB;HRAS;ZNF143;AKIRIN2;TCF7L2;CREBBP;ZNF263;JUN;RFX3;PAX6;NR1D1;INO80;FOS;PPRC1;ZFY;GRHL1;HINFP;NFKBIA;SFPQ;DDIT3;MAFF;RARA;CREBRF;ATF5;PAXBP1;ATF3;TAF2;CCDC62,Biological_Process
GO_Biological_Process_2023,tRNA Modification (GO:0006400),10/67,6.232516338028912e-07,0.00015608001629378117,0,0,9.075930567158638,129.67975933722838,CTU2;YRDC;ALKBH1;TRMO;TRMT6;TRMT13;TYW1B;DUS3L;TRIT1;ALKBH8,Biological_Process
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),67/1922,1.5837769449274742e-06,0.0003470451230572328,0,0,1.9979998488550768,26.684682769337996,ATF1;ARID4A;GPATCH3;CHD2;IKZF5;MED13;ING3;EPC1;EP300;JUNB;YAF2;HRAS;BRD2;RBM15;RFX3;PAX6;RFX1;FOS;HCFC2;ZFY;THAP1;DNAJC2;SFPQ;PSPC1;DDIT3;RARA;WAC;BIRC5;TERF2IP;DXO;ATF5;ATF3;ZNF597;ZNF671;INO80D;RGS14;SRRT;MYNN;GPS2;CDKN2AIP;LRP6;RELB;PPP2CA;BCLAF1;PCGF1;ZNF143;TCF7L2;CREBBP;ZNF263;JUN;UTP4;GTF2H1;NR1D1;INO80;ZBTB11;GRHL1;YY1AP1;HINFP;PER2;POLR3C;KANSL2;MAFF;CREBRF;HBP1;RCOR3;MXD1;TAF2,Biological_Process
GO_Biological_Process_2023,Positive Regulation Of RNA Metabolic Process (GO:0051254),7/33,2.7084083892787505e-06,0.0005275377673784055,0,0,13.840298808802746,177.42085825145804,UTP15;SUPV3L1;NMD3;DXO;RIOK1;HRAS;WDR43,Biological_Process
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),11/100,3.841542764144622e-06,0.0006734224465545523,0,0,6.400411289601526,79.81080229937197,ZCCHC8;UTP15;NOP58;DDX27;RPP30;SBDS;DDX10;ESF1;UTP20;INTS6;RRP12,Biological_Process
GO_Biological_Process_2023,Maturation Of SSU-rRNA (GO:0030490),7/38,7.360060333200687e-06,0.0011729259785546,0,0,11.60502921005842,137.16497462135445,UTP25;UTP4;SRFBP1;RIOK1;DDX52;WDR46;WDR43,Biological_Process
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),66/2028,1.8526471142972257e-05,0.0027064086594691,0,0,1.8438847417706608,20.09153970636757,ATF1;ARID4A;TRIAP1;GABPB1;CHD2;IKZF5;FLCN;MED13;ZMYM5;ZC3H12A;EPC1;EP300;JUNB;HRAS;BRD2;BUD31;RFX3;PAX6;RFX1;FOS;HCFC2;PPRC1;ZFY;THAP1;SFPQ;DDIT3;RARA;DXO;ATF5;ATF3;ZNF597;ZNF671;DLX2;NUFIP1;MYNN;GPS2;DDX21;PPM1D;CDKN2AIP;LRP6;RELB;BCLAF1;PCGF1;ZNF143;AKIRIN2;TCF7L2;CREBBP;ZNF263;JUN;PLK1;NR1D1;INO80;GRHL1;HINFP;PER2;NFKBIA;MAFF;ZNF614;CREBRF;HBP1;RCOR3;MXD1;PAXBP1;TAF2;ZNF134;CCDC62,Biological_Process
GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),18/298,2.30906210921634e-05,0.0031136814441971,0,0,3.3588416988416987,35.85927624115534,ANKRD17;PPP1R15A;JUN;INO80D;GADD45B;PLK1;PRCC;INO80;YY1AP1;THAP1;LRP6;PER2;ING3;RARA;EPC1;HBP1;JUNB;HRAS,Biological_Process
GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",13/180,5.22117730603441e-05,0.0065376598696273,0,0,4.036487025948103,39.80057967013397,ZCCHC8;PPIL1;YTHDC1;BUD31;SRSF1;CWC25;DDX39A;PRPF3;TRA2B;CWC22;TRA2A;SRSF3;SRSF6,Biological_Process
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",14/211,6.846895053420154e-05,0.008001738019097,0,0,3.689160943565244,35.3758445883064,ZCCHC8;PPIL1;YTHDC1;BUD31;SRSF1;CWC25;SFPQ;DDX39A;PRPF3;TRA2B;CWC22;TRA2A;SRSF3;SRSF6,Biological_Process
