gene,ontology,term_id,term_name,evidence
ZNF143,BP,GO:0006355,regulation of DNA-templated transcription,IBA
ZNF143,BP,GO:0006357,regulation of transcription by RNA polymerase II,TAS
ZNF143,BP,GO:0006359,regulation of transcription by RNA polymerase III,IEA
ZNF143,BP,GO:0006359,regulation of transcription by RNA polymerase III,TAS
ZNF143,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,EXP
ZNF143,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IDA
ZNF143,BP,GO:0045945,positive regulation of transcription by RNA polymerase III,TAS
ZNF143,BP,GO:1905382,positive regulation of snRNA transcription by RNA polymerase II,EXP
ZNF143,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IBA
ZNF143,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IDA
ZNF143,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IEA
ZNF143,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",IBA
ZNF143,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",IDA
ZNF143,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",IEA
ZNF143,MF,GO:0003677,DNA binding,IEA
ZNF143,MF,GO:0005515,protein binding,IPI
ZNF143,MF,GO:0008270,zinc ion binding,IEA
ZNF143,MF,GO:0046872,metal ion binding,IEA
ZNF143,CC,GO:0005634,nucleus,IEA
ZNF143,CC,GO:0005654,nucleoplasm,TAS
EMC9,BP,GO:0045050,protein insertion into ER membrane by stop-transfer membrane-anchor sequence,IDA
EMC9,BP,GO:0045050,protein insertion into ER membrane by stop-transfer membrane-anchor sequence,IMP
EMC9,BP,GO:0071816,tail-anchored membrane protein insertion into ER membrane,IDA
EMC9,MF,GO:0005515,protein binding,IPI
EMC9,MF,GO:0032977,membrane insertase activity,IMP
EMC9,CC,GO:0005737,cytoplasm,IDA
EMC9,CC,GO:0005783,endoplasmic reticulum,IEA
EMC9,CC,GO:0005789,endoplasmic reticulum membrane,IEA
EMC9,CC,GO:0005789,endoplasmic reticulum membrane,NAS
EMC9,CC,GO:0016020,membrane,IEA
EMC9,CC,GO:0072546,EMC complex,IBA
EMC9,CC,GO:0072546,EMC complex,IDA
EMC9,CC,GO:0072546,EMC complex,IEA
EMC9,CC,GO:0072546,EMC complex,ISS
ZNF335,BP,GO:0001701,in utero embryonic development,IEA
ZNF335,BP,GO:0002052,positive regulation of neuroblast proliferation,IEA
ZNF335,BP,GO:0002052,positive regulation of neuroblast proliferation,ISS
ZNF335,BP,GO:0007420,brain development,IBA
ZNF335,BP,GO:0007420,brain development,IEA
ZNF335,BP,GO:0007420,brain development,IMP
ZNF335,BP,GO:0008284,positive regulation of cell population proliferation,IEA
ZNF335,BP,GO:0010468,regulation of gene expression,IEA
ZNF335,BP,GO:0010468,regulation of gene expression,IEA
ZNF335,BP,GO:0021895,cerebral cortex neuron differentiation,IEA
ZNF335,BP,GO:0040029,epigenetic regulation of gene expression,IMP
ZNF335,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IBA
ZNF335,BP,GO:0048812,neuron projection morphogenesis,IEA
ZNF335,BP,GO:0048812,neuron projection morphogenesis,ISS
ZNF335,BP,GO:0048854,brain morphogenesis,IEA
